Picture Name,Hue Degree,Value (Accumulated saturation for each degree of hue),TEMP1 range,TEMP2 range,TEMP name
Horse1.png,,,326 420,146 240,6
,0,1,,,
,1,0.0174512,,,
,2,0.0498066,,,
,3,0.100211,,,
,4,0.135742,,,
,5,0.221489,,,
,6,0.197623,,,
,7,0.136214,,,
,8,0.172405,,,
,9,0.188221,,,
,10,0.508505,,,
,11,0.133667,,,
,12,0.541773,,,
,13,0.24177,,,
,14,0.167909,,,
,15,0.36506,,,
,16,0.376537,,,
,17,0.271735,,,
,18,0.241612,,,
,19,0.185014,,,
,20,0.318964,,,
,21,0.203629,,,
,22,0.336603,,,
,23,0.12307,,,
,24,0.170833,,,
,25,0.191523,,,
,26,0.211489,,,
,27,0.205955,,,
,28,0.125617,,,
,29,0.0262239,,,
,30,0.372103,,,
,31,0.067981,,,
,32,0.206081,,,
,33,0.098104,,,
,34,0.0606232,,,
,35,0.115807,,,
,36,0.0727604,,,
,37,0.0737981,,,
,38,0.0446813,,,
,39,0.0190234,,,
,40,0.184259,,,
,41,0.0549319,,,
,42,0.214634,,,
,43,0.0202182,,,
,44,0.0225136,,,
,45,0.0417885,,,
,46,0.0119486,,,
,47,0.00729491,,,
,48,0.0223564,,,
,49,0.00301858,,,
,50,0.0131434,,,
,51,0.00641449,,,
,52,0.00578562,,,
,53,0.00361601,,,
,54,0.0017294,,,
,55,0.00320724,,,
,56,0.00273559,,,
,57,0.000314436,,,
,58,0,,,
,59,0,,,
,60,0.161557,,,
,61,0,,,
,62,0,,,
,63,0.000817533,,,
,64,0.00179228,,,
,65,0.00185517,,,
,66,0.0026727,,,
,67,0.00185517,,,
,68,0.00314436,,,
,69,0.00188661,,,
,70,0.00525108,,,
,71,6.29E-05,,,
,72,0.00921297,,,
,73,0.00226394,,,
,74,6.29E-05,,,
,75,0.00748357,,,
,76,0.00116341,,,
,77,0.00210672,,,
,78,0.00179228,,,
,79,0,,,
,80,0.010565,,,
,81,0.00157218,,,
,82,0.00106908,,,
,83,0.000597428,,,
,84,0.00405622,,,
,85,0.00185517,,,
,86,0.000691759,,,
,87,0.00125774,,,
,88,0.00044021,,,
,89,0,,,
,90,0.0155017,,,
,91,0.000157218,,,
,92,0.00160362,,,
,93,0.000691759,,,
,94,0.00150929,,,
,95,0.000817533,,,
,96,0.00248404,,,
,97,0.00088042,,,
,98,0.00106908,,,
,99,0,,,
,100,0.0104078,,,
,101,0.000565984,,,
,102,0.00232682,,,
,103,0.000754646,,,
,104,6.29E-05,,,
,105,0.00371034,,,
,106,0.00110053,,,
,107,0.000408766,,,
,108,0.00135207,,,
,109,0.00088042,,,
,110,0.00163507,,,
,111,0.00150929,,,
,112,0.00125774,,,
,113,0.000628871,,,
,114,0.00135207,,,
,115,0.000974751,,,
,116,0.000282992,,,
,117,0,,,
,118,0,,,
,119,0,,,
,120,0.0494607,,,
,121,0,,,
,122,6.29E-05,,,
,123,0.000565984,,,
,124,0.00125774,,,
,125,0.00135207,,,
,126,0.00220105,,,
,127,0.00125774,,,
,128,0.00157218,,,
,129,0.000817533,,,
,130,0.00361601,,,
,131,0.000628871,,,
,132,0.00355312,,,
,133,0.0029557,,,
,134,0.000723202,,,
,135,0.0049052,,,
,136,0.0026727,,,
,137,0.00339591,,,
,138,0.00553407,,,
,139,0.000660315,,,
,140,0.0100619,,,
,141,0.00459076,,,
,142,0.00525108,,,
,143,0.00333302,,,
,144,0.00745213,,,
,145,0.00654026,,,
,146,0.00704336,,,
,147,0.0063516,,,
,148,0.00672892,,,
,149,0.000628871,,,
,150,0.0330786,,,
,151,0.00537685,,,
,152,0.00622583,,,
,153,0.00650882,,,
,154,0.00625727,,,
,155,0.00597428,,,
,156,0.0109109,,,
,157,0.0068547,,,
,158,0.00886709,,,
,159,0.00531396,,,
,160,0.022828,,,
,161,0.00874131,,,
,162,0.00861554,,,
,163,0.00553407,,,
,164,0.00345879,,,
,165,0.0112254,,,
,166,0.00484231,,,
,167,0.0029557,,,
,168,0.0083011,,,
,169,0.004182,,,
,170,0.00528252,,,
,171,0.00358457,,,
,172,0.00386756,,,
,173,0.00358457,,,
,174,0.00732635,,,
,175,0.00185517,,,
,176,0.00116341,,,
,177,0.000943307,,,
,178,0,,,
,179,0,,,
,180,0.0536427,,,
,181,0,,,
,182,0.000314436,,,
,183,9.43E-05,,,
,184,0.000220105,,,
,185,0.000534541,,,
,186,0.00213816,,,
,187,0.000534541,,,
,188,0.000786089,,,
,189,0.000188661,,,
,190,0.0019495,,,
,191,0,,,
,192,0.00506242,,,
,193,0.00201239,,,
,194,3.14E-05,,,
,195,0.003899,,,
,196,0.000534541,,,
,197,0.000565984,,,
,198,0.000974751,,,
,199,0,,,
,200,0.00575417,,,
,201,0.000754646,,,
,202,0.00132063,,,
,203,6.29E-05,,,
,204,0.00226394,,,
,205,0.00157218,,,
,206,0.00116341,,,
,207,0.000345879,,,
,208,0,,,
,209,6.29E-05,,,
,210,0.0163507,,,
,211,0,,,
,212,0.000534541,,,
,213,0.000943307,,,
,214,0.00113197,,,
,215,3.14E-05,,,
,216,0.00226394,,,
,217,0.00185517,,,
,218,9.43E-05,,,
,219,0,,,
,220,0.027859,,,
,221,0.000125774,,,
,222,0.0017294,,,
,223,0.000157218,,,
,224,0,,,
,225,0.00468509,,,
,226,0.000251549,,,
,227,0.000125774,,,
,228,0.00336446,,,
,229,6.29E-05,,,
,230,0.00201239,,,
,231,0.000628871,,,
,232,0.000471654,,,
,233,0.000282992,,,
,234,0.000282992,,,
,235,0.00044021,,,
,236,9.43E-05,,,
,237,0,,,
,238,0,,,
,239,0,,,
,240,0.109487,,,
,241,0,,,
,242,0,,,
,243,0,,,
,244,0.000345879,,,
,245,0.000282992,,,
,246,0.000534541,,,
